username,sentiment,sentiment
freegypsyrose,Positive,100.0
frso_chicago,Positive,100.0
gay_disco,Negative,100.0
geefto77,Negative,100.0
goldenflow_,Positive,100.0
golfer_hardik,Positive,100.0
gonzosj488,Negative,100.0
goobs123c,Positive,100.0
goterrands2,Negative,100.0
greeks_4Trump,Negative,100.0
gretelisabeth,Positive,52.0
gretelisabeth,Negative,48.0
gscsamerica,Negative,100.0
gucciguccisam,Negative,100.0
happy_skills,Negative,100.0
harmothagod,Negative,100.0
harrylee773,Positive,100.0
heyjoshhaines,Positive,100.0
heymarianaa_,Negative,100.0
hilaryscruff_,Positive,100.0
hillda70,Positive,100.0
himissjulie,Positive,52.0
himissjulie,Negative,48.0
hippocampusplus,Negative,100.0
howdyruiz,Positive,100.0
iDidURwoMAN,Negative,100.0
iam356,Positive,100.0
iamjayshakur,Negative,100.0
idkautumn,Negative,100.0
idoheartfailure,Negative,100.0
iffylube,Negative,50.0
iffylube,Positive,50.0
imLeor,Positive,100.0
iosbakerjoe,Negative,50.0
iosbakerjoe,Positive,50.0
j_brunke,Negative,100.0
jacobson_randy,Negative,100.0
jaldrich10,Negative,100.0
jamali_maryam,Positive,100.0
jannabelle66,Positive,100.0
jeremy_hart9,Negative,100.0
jfluck,Negative,100.0
jimdewan,Positive,100.0
jmendoza010,Negative,100.0
joel__xx,Negative,66.66666666666666
joel__xx,Positive,33.33333333333333
jonessoruthless,Negative,100.0
jordannachicago,Negative,73.33333333333333
jordannachicago,Positive,26.666666666666668
joshyjohnson,Negative,100.0
joyfergie,Negative,100.0
jrkisbad,Positive,100.0
jtreeeez,Negative,100.0
jtsbk,Negative,100.0
juantonamera,Positive,100.0
juicycdobbs,Negative,100.0
jxxy_love,Positive,100.0
kalidraganov,Negative,100.0
katieveeeee,Positive,100.0
kellifrost_,Negative,100.0
keroq,Positive,100.0
kiarajeniece,Negative,100.0
kidtrillions,Positive,100.0
kingdomcummies,Positive,100.0
kit1049,Positive,100.0
kteforreal,Negative,100.0
kulaComfort,Positive,100.0
labudda_ronald,Negative,100.0
latinasvotered,Negative,66.66666666666666
latinasvotered,Positive,33.33333333333333
leeStarr20,Negative,100.0
lejistar112,Positive,100.0
lesismorelie,Negative,66.66666666666666
lesismorelie,Positive,33.33333333333333
lilgayafg,Negative,100.0
lizrobinson816,Negative,100.0
louise_q10,Positive,100.0
lucyparsonslabs,Negative,100.0
madeanugh,Positive,100.0
mads_018,Positive,100.0
malavemark,Negative,100.0
marcobuscaglia,Negative,100.0
marydifino,Negative,100.0
mason_reyna,Negative,100.0
mbgm__,Negative,100.0
mcmarge,Negative,100.0
meanunclejack,Negative,100.0
meat,Positive,51.92307692307693
meat,Negative,48.07692307692308
mediocremaddon,Negative,100.0
meowing_at_u,Negative,50.0
meowing_at_u,Positive,50.0
michaelperry_10,Negative,100.0
mikeyisbrown,Negative,100.0
miriamapierce,Negative,100.0
momobrewer,Positive,100.0
moseason_,Positive,100.0
mp4_victor,Negative,100.0
mrsaturnvalley,Positive,66.66666666666666
mrsaturnvalley,Negative,33.33333333333333
murphandcompany,Negative,100.0
nackoball,Negative,64.28571428571429
nackoball,Positive,35.714285714285715
natuuhlie,Positive,100.0
ndsujerk,Negative,100.0
newzdude76,Positive,100.0
nibsandcode,Positive,100.0
nikfraz14,Positive,100.0
nulaw1,Negative,100.0
offffice,Negative,100.0
okaychicago,Negative,55.81395348837209
okaychicago,Positive,44.18604651162791
oxy586,Negative,100.0
padoramonium,Negative,100.0
pam53,Positive,100.0
pathswillcross,Negative,100.0
paulyfabulous,Negative,100.0
pfcass,Negative,100.0
philip_the_4th,Negative,100.0
pokeefe_,Positive,100.0
politixalr00m1,Negative,100.0
popbombdenis,Negative,100.0
postachinni,Positive,66.66666666666666
postachinni,Negative,33.33333333333333
quequetenango,Negative,50.0
quequetenango,Positive,50.0
qxeen_bridget,Negative,100.0
rashanahbaldwin,Negative,100.0
realgracestuewe,Negative,75.0
realgracestuewe,Positive,25.0
realyobanicruz,Negative,50.0
realyobanicruz,Positive,50.0
ri_iver,Positive,100.0
rich_alfonso,Negative,100.0
rickperlstein,Negative,100.0
robertloerzel,Negative,100.0
rosnerisland,Negative,100.0
ruggles_dave,Negative,100.0
rulesforrebels,Positive,100.0
russzwolinski,Negative,100.0
