username,sentiment,sentiment
demassie2,Positive,100.0
diamond_girl_85,Negative,100.0
dick30092,Negative,100.0
diogenes7774,Positive,100.0
dkrom59,Positive,100.0
dmpull,Negative,100.0
dropope,Positive,100.0
e_sutton1,Negative,100.0
eddierios31,Positive,95.23809523809523
eddierios31,Negative,4.761904761904762
ejthies15,Positive,100.0
elainelayabout,Positive,100.0
ellchicago,Negative,66.66666666666666
ellchicago,Positive,33.33333333333333
ellisrobbie,Negative,100.0
elon_omar,Positive,100.0
emperorcorona,Positive,100.0
ericowensdc,Negative,50.0
ericowensdc,Positive,50.0
evietoo,Negative,66.66666666666666
evietoo,Positive,33.33333333333333
fb_illini,Negative,100.0
fcj316,Positive,100.0
feriadelaluna,Positive,100.0
gbrettwilliams,Positive,100.0
gerry_cadava,Positive,100.0
gkbeetner,Positive,100.0
grammylinnie,Positive,100.0
grantgholson,Positive,100.0
grayeyesdontlie,Positive,100.0
guess_got,Positive,100.0
haileyyjane,Positive,100.0
haleyjennyc,Negative,100.0
hall50LShield,Negative,50.0
hall50LShield,Positive,50.0
harrylee773,Positive,100.0
hookedonmusicen,Negative,100.0
hopelesslibtard,Negative,100.0
iamrogerb_,Positive,100.0
j_s_l,Negative,100.0
jachulo,Negative,100.0
jackandcokepapi,Positive,100.0
jasonpeck15,Negative,100.0
jawzone,Negative,100.0
jen_cam,Negative,100.0
jepaco,Negative,100.0
joannegiovenco1,Negative,50.0
joannegiovenco1,Positive,50.0
jokelley,Positive,100.0
jonafeldman,Positive,100.0
jorgejr44,Negative,100.0
jsways12,Negative,100.0
jt_butthead,Negative,100.0
justlikeyou_R,Negative,100.0
jwestropeDMA,Negative,100.0
jzamms,Negative,50.0
jzamms,Positive,50.0
k17nielsen,Negative,100.0
kamuleosaurus,Negative,100.0
katebutate,Negative,100.0
kekambasballa,Negative,100.0
kenparish,Positive,100.0
kevin881,Negative,100.0
kkalmes2,Positive,100.0
krispekitty,Positive,100.0
kteforreal,Positive,100.0
labudda_ronald,Negative,50.0
labudda_ronald,Positive,50.0
lateblum,Negative,50.0
lateblum,Positive,50.0
lauren_a_when,Negative,100.0
lbh1316,Negative,100.0
leannemodell,Negative,100.0
leeStarr20,Negative,100.0
leslie1147,Positive,100.0
libbyresists,Negative,100.0
lifeschoices79,Positive,66.66666666666666
lifeschoices79,Negative,33.33333333333333
live333epic,Negative,100.0
llegrapiarulli,Negative,100.0
lou_tenore,Negative,100.0
lovedeacon,Negative,100.0
lutrologist,Negative,100.0
lvargas117,Negative,100.0
maNic_Cage,Negative,100.0
maalicrew,Positive,100.0
makowski13,Positive,100.0
malavemark,Positive,66.66666666666666
malavemark,Negative,33.33333333333333
mark_woznica,Negative,100.0
mary90616311,Positive,100.0
matt_basinger,Negative,100.0
mattmcguirre,Positive,100.0
maximoheadroom,Negative,100.0
mdkulin,Positive,100.0
mediaguy44,Positive,100.0
mediapython,Negative,100.0
meindiva,Negative,100.0
michaelaajayi,Negative,100.0
michaelronzano,Negative,100.0
mikekel23621991,Negative,50.0
mikekel23621991,Positive,50.0
mikeylaxraps,Negative,100.0
mjpg115,Positive,100.0
mleen1111,Positive,100.0
mnike_likes_it,Negative,100.0
molodyko,Negative,100.0
mroseb,Positive,100.0
mts312,Positive,100.0
mynameissalah,Negative,100.0
mzoobek,Negative,100.0
nancyozz,Negative,100.0
nbcchicago,Positive,100.0
nberlat,Negative,83.33333333333334
nberlat,Positive,16.666666666666664
nickc3cc3,Positive,100.0
nieto312_,Negative,100.0
nosex_nosex,Positive,100.0
nulaw1,Negative,100.0
nurseylu,Positive,100.0
ohiostreetjoe,Negative,100.0
oldchiguy,Negative,100.0
pam53,Positive,100.0
pamschwetz,Negative,100.0
paprika452,Negative,100.0
parrigan2,Positive,100.0
patrickrooney,Positive,100.0
patty78962,Negative,100.0
paulbullen,Negative,100.0
pbfinke,Positive,100.0
pcanderson,Positive,100.0
pcrod,Negative,100.0
pedavi,Negative,100.0
perlamartinez4,Positive,100.0
petegaines,Positive,100.0
pgarciachicago,Negative,100.0
philly_2chitown,Negative,100.0
pidgeon92,Positive,100.0
platypusmanatee,Negative,100.0
polywatchout,Negative,100.0
postergeisty,Positive,100.0
pqfuller,Negative,100.0
pschuster77,Negative,100.0
pseudofauxme,Positive,100.0
putermantoU,Negative,100.0
pwallace41,Positive,100.0
randall_palmer1,Negative,100.0
randalricci,Negative,100.0
ras_efx,Negative,100.0
realJackEason,Negative,100.0
realKevinNutt,Positive,100.0
realyobanicruz,Negative,50.0
realyobanicruz,Positive,50.0
reesetheone1,Negative,100.0
resistnoworelse,Positive,100.0
revjjo,Positive,100.0
richermh,Negative,100.0
rleach2000,Negative,100.0
ron_rains,Positive,100.0
ronnmail,Positive,100.0
rstyburski,Negative,100.0
russzwolinski,Negative,100.0
saintknives,Negative,100.0
sandyrodeck,Negative,100.0
sarger01,Positive,100.0
scottmonaghan,Negative,100.0
scubacat3,Positive,100.0
sewell_van,Positive,100.0
shardman1981,Negative,100.0
shareourlove74,Negative,100.0
shawnhk,Negative,100.0
sinrnside,Positive,100.0
skeevystoner85,Positive,100.0
sminchicago,Negative,100.0
soloyochapin,Negative,71.42857142857143
soloyochapin,Positive,28.57142857142857
spiderstumbled,Negative,100.0
stephanie9973,Positive,100.0
stevefivemill1,Negative,60.0
stevefivemill1,Positive,40.0
stevenuic,Positive,100.0
stopGOPplunder,Positive,100.0
successzone,Negative,50.0
successzone,Positive,50.0
swanksalot,Negative,100.0
swanny31176,Negative,100.0
t_beez22,Positive,100.0
tankboy,Negative,100.0
tbarnett500,Negative,100.0
tha_prodigy11,Negative,100.0
theGSpledge,Positive,100.0
theTrixieMcGee,Negative,100.0
the_q_factor,Positive,60.0
the_q_factor,Negative,40.0
theguybrass,Positive,100.0
thejchristopher,Positive,100.0
thelastpinkcar,Positive,60.0
thelastpinkcar,Negative,40.0
thepathoflife,Negative,100.0
thepretzelgirl,Negative,100.0
thereseflanagan,Negative,100.0
those2lenas,Negative,100.0
tom_tharayil,Negative,100.0
toreilly,Positive,66.66666666666666
toreilly,Negative,33.33333333333333
torrey_hall,Positive,100.0
trejowernerg,Negative,100.0
trickeytweet,Positive,100.0
tullianum,Positive,100.0
tweet_parag,Negative,100.0
undercovernerd5,Negative,100.0
victoryadams508,Positive,100.0
voteblueatt,Positive,100.0
vulpitta41,Positive,100.0
walter3951,Negative,50.0
walter3951,Positive,50.0
wenhardy,Positive,100.0
wesystahz,Positive,100.0
whet,Negative,100.0
windycitymo9,Positive,100.0
wiwolfyone,Positive,100.0
xdxdredx,Negative,100.0
yeehawchance,Positive,66.66666666666666
yeehawchance,Negative,33.33333333333333
ygg_studios,Negative,100.0
yupimrandy,Negative,100.0
zannie82,Positive,100.0
