username,sentiment,sentiment
josephj68817092,Positive,100.0
jstevenyoung,Negative,100.0
jsways12,Negative,100.0
judiekstein,Positive,100.0
judme,Negative,100.0
julievga,Negative,100.0
kagard16,Negative,100.0
karincpryor,Negative,100.0
kcbyrne,Negative,50.0
kcbyrne,Positive,50.0
kebmo12,Negative,100.0
kellydraper,Positive,100.0
kenparish,Negative,100.0
kevi180,Negative,50.0
kevi180,Positive,50.0
kevingrover,Positive,100.0
key2thehighway,Positive,88.88888888888889
key2thehighway,Negative,11.11111111111111
kit1049,Positive,100.0
krosschicago,Negative,50.0
krosschicago,Positive,50.0
kruger626,Positive,100.0
l_p_348,Positive,100.0
labudda_ronald,Negative,100.0
ladyfey12,Negative,100.0
lauren_a_when,Negative,50.0
lauren_a_when,Positive,50.0
leemeade77,Positive,100.0
leroybrown1984,Negative,100.0
lilawalker70,Positive,100.0
liltanwrld,Negative,100.0
lisalaurenhere,Positive,100.0
lizzykate77,Positive,100.0
lowkeyoh,Negative,100.0
lweschicago,Negative,100.0
madisons_mad,Positive,100.0
maggieg32676073,Positive,100.0
malavemark,Negative,50.0
malavemark,Positive,50.0
maraleia,Positive,100.0
marias2323,Positive,100.0
marnie_bond,Negative,100.0
mary90616311,Negative,100.0
max_stolte,Positive,100.0
mbetrayal,Negative,100.0
megliziel,Positive,100.0
meindiva,Negative,100.0
melissaIsrael8,Negative,100.0
michaelronzano,Positive,100.0
mike_m856,Positive,100.0
mikeisshocked,Positive,100.0
mikekraft5,Positive,100.0
mipaladin,Negative,100.0
missgronch,Negative,100.0
misterDavidR,Positive,100.0
mjtam,Positive,100.0
mkg008,Negative,100.0
momsith,Positive,60.0
momsith,Negative,40.0
monsieurcouste,Positive,100.0
mori_j_t,Negative,100.0
mrodimel,Positive,100.0
mshuster09,Negative,100.0
munkle200,Negative,100.0
myfriendadamg,Positive,100.0
mynananana,Negative,100.0
mzhangclan,Negative,100.0
nancyfabulous50,Positive,100.0
nathcpa,Positive,100.0
navnor60,Negative,100.0
nbcchicago,Positive,100.0
nberlat,Negative,80.0
nberlat,Positive,20.0
ninanelly,Negative,100.0
nurseylu,Negative,100.0
ohgodjohnwhy,Positive,100.0
oldchiguy,Negative,100.0
oppossumparty,Negative,100.0
orangeowl18,Negative,100.0
pam53,Negative,55.55555555555556
pam53,Positive,44.44444444444444
pambles4life,Negative,100.0
pat_lee,Negative,50.0
pat_lee,Positive,50.0
pcrod,Negative,100.0
pedavi,Negative,100.0
people_r_nuts,Negative,100.0
petersagal,Negative,100.0
philly_2chitown,Positive,100.0
piacruzalegui,Negative,100.0
pinkmommy5,Positive,100.0
poeticpotion111,Negative,100.0
polywatchout,Negative,100.0
pschicago1,Negative,100.0
putermantoU,Positive,100.0
rambo2238,Positive,100.0
randall_palmer1,Negative,50.0
randall_palmer1,Positive,50.0
randthedragon,Positive,100.0
rashlawrashlaw,Negative,66.66666666666666
rashlawrashlaw,Positive,33.33333333333333
rayann2320,Negative,100.0
raykrueger,Negative,100.0
realKevinNutt,Negative,100.0
realyobanicruz,Negative,66.66666666666666
realyobanicruz,Positive,33.33333333333333
redhead6581,Negative,100.0
ree923,Negative,100.0
reesetheone1,Negative,100.0
restructures,Positive,100.0
revclubchi,Negative,100.0
rhazucka,Negative,66.66666666666666
rhazucka,Positive,33.33333333333333
rhysmiller,Negative,100.0
richermh,Negative,100.0
rigboss,Negative,100.0
rjrogo,Negative,100.0
robertpincus1,Negative,100.0
roblinx,Negative,100.0
ronnmail,Positive,100.0
rperez250,Positive,100.0
russdorn,Positive,100.0
samanthawarady,Negative,100.0
sangamon_io,Positive,100.0
saranorquist,Positive,100.0
scottmonaghan,Negative,100.0
shareourlove74,Negative,100.0
sharonmmcdonald,Positive,100.0
shoathree,Negative,100.0
shoutyshibe,Positive,100.0
siciliancnq,Positive,100.0
sm0b0t,Positive,100.0
smangano51,Negative,100.0
smokiestpigeon,Negative,50.0
smokiestpigeon,Positive,50.0
soloyochapin,Negative,62.5
soloyochapin,Positive,37.5
soozabells,Positive,66.66666666666666
soozabells,Negative,33.33333333333333
southside365,Negative,100.0
spiderstumbled,Positive,66.66666666666666
spiderstumbled,Negative,33.33333333333333
spikechicago,Positive,100.0
squilvz,Negative,100.0
steelekelly,Positive,100.0
stenhankewitz,Positive,100.0
stewonthis1,Positive,100.0
stuschuster,Negative,100.0
sviohl,Positive,100.0
swanksalot,Negative,50.0
swanksalot,Positive,50.0
swww2198,Negative,50.0
swww2198,Positive,50.0
t_beez22,Positive,66.66666666666666
t_beez22,Negative,33.33333333333333
tarikkhribech,Positive,100.0
tbarnett500,Positive,100.0
tech4290,Positive,100.0
tennismatch1,Positive,100.0
thatswritefolks,Positive,100.0
theOnlyBuddyB,Negative,100.0
the_hypnotoad,Positive,100.0
the_q_factor,Positive,75.0
the_q_factor,Negative,25.0
thedanielhurst_,Negative,100.0
thelastpinkcar,Positive,75.0
thelastpinkcar,Negative,25.0
thereseflanagan,Positive,100.0
thescreendoor,Negative,100.0
tibsandco,Positive,100.0
tlongmeadow,Negative,50.0
tlongmeadow,Positive,50.0
toreilly,Negative,50.0
toreilly,Positive,50.0
tori_basham,Negative,100.0
trini0268,Negative,66.66666666666666
trini0268,Positive,33.33333333333333
trumperyresist,Positive,100.0
tsturk8,Positive,100.0
tullman,Positive,100.0
tx_rockstar,Negative,100.0
vexedinthecity,Negative,100.0
