username,sentiment,sentiment
bioncefoxx,Positive,100.0
bleeinternets,Negative,100.0
bluetroll21,Negative,100.0
breeserenity,Negative,100.0
brian_abettera,Negative,100.0
bsniz,Negative,66.66666666666666
bsniz,Positive,33.33333333333333
burnedbrass,Positive,100.0
canderson311,Positive,100.0
cannaphiles,Positive,100.0
ccade937,Negative,100.0
ceebeedondada,Positive,100.0
chantoeknee,Negative,100.0
charleseblack,Positive,100.0
chi_town_girl,Negative,100.0
chico_iscool,Negative,100.0
chilira,Negative,50.0
chilira,Positive,50.0
chouinardphoto,Negative,50.0
chouinardphoto,Positive,50.0
chrissmith,Negative,75.0
chrissmith,Positive,25.0
ckridley,Negative,50.0
ckridley,Positive,50.0
clitmaster20,Negative,50.0
clitmaster20,Positive,50.0
conspiracylife,Negative,100.0
corlew_rebecca,Positive,100.0
cozmiiika,Positive,100.0
cpdusmc65,Negative,100.0
cyndacindy,Positive,100.0
davidalanschulz,Positive,100.0
dessaroux,Positive,100.0
dexxdot,Negative,100.0
dhmiv,Negative,100.0
diallokenyatta,Positive,100.0
dianepathieu,Negative,50.0
dianepathieu,Positive,50.0
dkillaa_,Negative,100.0
donofrioABC7,Negative,100.0
dougpfresh,Negative,100.0
dp_roc79,Positive,100.0
duve,Positive,100.0
edghah,Negative,100.0
egockel,Positive,100.0
elizabethaustin,Positive,100.0
elsacurrys,Negative,100.0
emerson_toomey,Positive,100.0
equan_master,Negative,100.0
ericthulhu,Negative,50.0
ericthulhu,Positive,50.0
esamarla,Positive,100.0
exavierpope,Negative,100.0
freegypsyrose,Positive,66.66666666666666
freegypsyrose,Negative,33.33333333333333
gabri3ll3xo,Negative,100.0
genevalee2020,Negative,100.0
geobliss,Negative,100.0
guard_uno,Positive,100.0
hameslauren,Positive,100.0
hijxdelsol,Negative,100.0
hillda70,Positive,60.0
hillda70,Negative,40.0
huskeeman82,Negative,100.0
iam3eyes,Positive,100.0
iamjenbt,Positive,100.0
ill_Will17,Positive,100.0
iosbakerjoe,Negative,68.75
iosbakerjoe,Positive,31.25
ireadmanuals,Positive,100.0
its_eeladio,Negative,100.0
itsayana__,Negative,100.0
itskylelucas,Negative,100.0
itzel_j23,Positive,100.0
jalaffler,Positive,100.0
jjmarinacci,Negative,100.0
joekulys,Negative,66.66666666666666
joekulys,Positive,33.33333333333333
jtsbk,Positive,100.0
karl_kuhn,Positive,100.0
kathychaney,Negative,50.0
kathychaney,Positive,50.0
katiejlevin,Positive,100.0
kchappellnews,Positive,100.0
keenlykeena,Negative,50.0
keenlykeena,Positive,50.0
kellydraper,Positive,100.0
kimec_66,Negative,100.0
klastastic,Positive,100.0
knightillus,Positive,100.0
kristenpflumFOX,Positive,66.66666666666666
kristenpflumFOX,Negative,33.33333333333333
kruntalicious,Positive,100.0
l_journaliste,Negative,100.0
leeuh_mucis,Negative,100.0
lemlemco,Negative,100.0
lisa_pugliese,Negative,50.0
lisa_pugliese,Positive,50.0
lisaboban,Negative,100.0
lookingforlarry,Positive,100.0
loooorenanicole,Positive,100.0
lorenzosorice,Negative,100.0
ltaford,Negative,100.0
lweber,Positive,100.0
mags2x,Negative,100.0
margecarroll,Positive,100.0
mariecfazio,Negative,83.33333333333334
mariecfazio,Positive,16.666666666666664
marioinhydepark,Positive,100.0
mark7130,Negative,100.0
marketingpr312,Positive,100.0
martini_fridays,Positive,100.0
mateodechicago,Negative,100.0
mattoshea19,Positive,100.0
maxpower187,Positive,100.0
megalophonous,Negative,100.0
mikeklonsky,Positive,66.66666666666666
mikeklonsky,Negative,33.33333333333333
miketyler357,Positive,100.0
mikkyjwright,Positive,100.0
miriamcb,Positive,100.0
miss_kassyd117,Positive,100.0
missdottpndcake,Negative,100.0
mistyolr,Positive,100.0
mitchtrout,Positive,100.0
monicatea2,Negative,60.0
monicatea2,Positive,40.0
mrhonorama,Negative,100.0
mrmarchochmuth,Positive,100.0
negateandnull,Negative,100.0
newsburrow,Negative,100.0
nickthepain312,Positive,100.0
nikable,Positive,60.0
nikable,Negative,40.0
nohandlesleft,Positive,100.0
padschicago,Negative,100.0
panchph0ron,Negative,100.0
pathieuabc7,Positive,57.14285714285714
pathieuabc7,Negative,42.857142857142854
percydondle51,Negative,100.0
photobra,Negative,100.0
popn_shadows,Negative,100.0
primitive_type,Negative,100.0
prophetessroyal,Negative,100.0
purebeauty_j,Positive,100.0
rabatibur,Negative,100.0
reesetheone1,Negative,100.0
restmanager_chi,Positive,100.0
russzwolinski,Positive,100.0
saintknives,Positive,100.0
sarafouad87,Positive,100.0
shanasolarte,Negative,100.0
shane_riordan,Positive,100.0
sheath2,Negative,100.0
shuttle_konk22,Negative,100.0
sixfootfiveguy,Negative,100.0
skylar_moran,Positive,100.0
slow911,Negative,100.0
snarkosaurous,Negative,100.0
sonof_juptr,Negative,100.0
spliffylynz,Positive,100.0
sryogijet47,Negative,100.0
ssmiller,Negative,66.66666666666666
ssmiller,Positive,33.33333333333333
stacejams,Negative,100.0
stayhumble,Negative,100.0
stephagnw,Negative,100.0
sydsocrazy,Negative,100.0
tfwheats,Negative,50.0
tfwheats,Positive,50.0
thebabybux,Positive,100.0
thebonebell,Positive,100.0
thejacksonfile,Negative,100.0
therealPunkAndy,Negative,100.0
theycallmeOboi,Positive,100.0
thiccflairttv,Negative,100.0
thugmasterflexx,Negative,100.0
tkilla92__,Negative,100.0
tracybritt2,Negative,80.0
tracybritt2,Positive,20.0
tvbrad,Negative,57.14285714285714
tvbrad,Positive,42.857142857142854
tweetsbymidge,Positive,100.0
uno_mikey,Negative,100.0
vashon_photo,Positive,100.0
vincegerasole,Negative,100.0
vsavag2,Negative,100.0
wenhardy,Negative,50.0
wenhardy,Positive,50.0
whereisjimmyg,Positive,100.0
whet,Positive,100.0
wrizal,Positive,100.0
xavierwav,Positive,100.0
